Landmarks,Gesture
"[,6.99255943e-01,7.21936405e-01,4.92965285e-07,6.27889395e-01
,7.00920582e-01,-2.44910847e-02,5.66036940e-01,6.47787273e-01
,-3.81788723e-02,5.20143032e-01,6.05876744e-01,-5.05778454e-02
,4.78821963e-01,5.76437593e-01,-6.30626976e-02,6.04757607e-01
,5.11273623e-01,-1.67005565e-02,5.70535421e-01,4.33485270e-01
,-3.23546454e-02,5.51263273e-01,3.82763356e-01,-4.71487604e-02
,5.38193882e-01,3.37297142e-01,-5.93217649e-02,6.48978889e-01
,4.88913119e-01,-2.10382789e-02,6.37870729e-01,3.86113971e-01
,-3.25486772e-02,6.31728470e-01,3.21967125e-01,-4.53543104e-02
,6.27706528e-01,2.68084228e-01,-5.61513267e-02,6.92906320e-01
,4.91673350e-01,-2.95214765e-02,6.89597547e-01,3.94842923e-01
,-4.54973169e-02,6.86962605e-01,3.37677479e-01,-5.75359017e-02
,6.82859719e-01,2.85174578e-01,-6.69755116e-02,7.36809433e-01
,5.13420284e-01,-4.04024050e-02,7.53235102e-01,4.42376047e-01
,-5.66240288e-02,7.62211621e-01,3.94458294e-01,-6.34195581e-02
,7.67243743e-01,3.48693728e-01,-6.82979450e-02]",Your Gesture Name
"[,6.89249516e-01,6.98073328e-01,5.09904282e-07,6.17536604e-01
,6.79851174e-01,-2.37706210e-02,5.54822087e-01,6.26457572e-01
,-3.62022966e-02,5.09154677e-01,5.84055305e-01,-4.73118685e-02
,4.68352020e-01,5.55596352e-01,-5.81840612e-02,5.91713667e-01
,4.84927624e-01,-1.40712094e-02,5.57498813e-01,4.05210167e-01
,-2.76960880e-02,5.38548291e-01,3.54316950e-01,-4.11450863e-02
,5.25387168e-01,3.09750378e-01,-5.25536351e-02,6.35765195e-01
,4.61770356e-01,-1.81672182e-02,6.23985410e-01,3.58980000e-01
,-2.75102518e-02,6.17899418e-01,2.95710325e-01,-3.87854278e-02
,6.13758683e-01,2.44970262e-01,-4.85503227e-02,6.80162489e-01
,4.63769674e-01,-2.65411157e-02,6.75969601e-01,3.65095913e-01
,-4.06687818e-02,6.72753394e-01,3.08936596e-01,-5.19621596e-02
,6.68119550e-01,2.58371830e-01,-6.11258671e-02,7.25237012e-01
,4.85650539e-01,-3.73626277e-02,7.42152870e-01,4.13720936e-01
,-5.26592880e-02,7.50019908e-01,3.65423679e-01,-5.96842803e-02
,7.53825605e-01,3.19719076e-01,-6.48369119e-02]",Your Gesture Name
"[,6.80754185e-01,6.77647889e-01,5.00337478e-07,6.06788695e-01
,6.58135831e-01,-2.23541725e-02,5.42075276e-01,6.05577111e-01
,-3.40497568e-02,4.95540261e-01,5.64529896e-01,-4.48574796e-02
,4.54658210e-01,5.39154112e-01,-5.57542108e-02,5.80443799e-01
,4.66179609e-01,-1.33751752e-02,5.46582460e-01,3.85765404e-01
,-2.74688993e-02,5.26855826e-01,3.34024429e-01,-4.14465703e-02
,5.12319207e-01,2.88180947e-01,-5.33767529e-02,6.24451399e-01
,4.42222625e-01,-1.85487941e-02,6.11930668e-01,3.39793086e-01
,-2.84328517e-02,6.05238736e-01,2.75617599e-01,-4.03538719e-02
,6.00199282e-01,2.22202748e-01,-5.09029552e-02,6.68948710e-01
,4.42731082e-01,-2.78947875e-02,6.63000762e-01,3.44484806e-01
,-4.26878147e-02,6.58068180e-01,2.88111329e-01,-5.44471294e-02
,6.51977777e-01,2.37278163e-01,-6.40497580e-02,7.14123428e-01
,4.63128775e-01,-3.95713598e-02,7.30415761e-01,3.90827894e-01
,-5.51496334e-02,7.38283038e-01,3.42093796e-01,-6.21830076e-02
,7.42179453e-01,2.96249360e-01,-6.75183311e-02]",Your Gesture Name
"[,6.72233105e-01,6.64824128e-01,4.99861983e-07,5.99946022e-01
,6.46059513e-01,-2.29409765e-02,5.35007358e-01,5.92430890e-01
,-3.40683199e-02,4.88008142e-01,5.49433410e-01,-4.41922955e-02
,4.46996033e-01,5.25630414e-01,-5.41641340e-02,5.72205007e-01
,4.49716240e-01,-1.17978724e-02,5.36821783e-01,3.67934108e-01
,-2.46208385e-02,5.17142892e-01,3.16484094e-01,-3.76961380e-02
,5.02815604e-01,2.71263897e-01,-4.90446165e-02,6.15744710e-01
,4.25519913e-01,-1.63789559e-02,6.02440834e-01,3.21563065e-01
,-2.51899771e-02,5.95843315e-01,2.57093489e-01,-3.64020728e-02
,5.91039062e-01,2.04651117e-01,-4.63828146e-02,6.60085738e-01
,4.25195158e-01,-2.53695045e-02,6.53274536e-01,3.27659070e-01
,-3.93592305e-02,6.48675025e-01,2.70226002e-01,-5.09709008e-02
,6.42880976e-01,2.18820363e-01,-6.04747236e-02,7.05072224e-01
,4.43442494e-01,-3.68373878e-02,7.19750404e-01,3.70469421e-01
,-5.16012460e-02,7.27308869e-01,3.22532594e-01,-5.83492219e-02
,7.31460810e-01,2.77644098e-01,-6.35845140e-02]",Your Gesture Name
"[,6.65642858e-01,6.53437436e-01,4.65824769e-07,5.92908561e-01
,6.35739148e-01,-2.49544550e-02,5.28198719e-01,5.83668172e-01
,-3.77253555e-02,4.80616510e-01,5.41138232e-01,-4.91268225e-02
,4.38958526e-01,5.14750838e-01,-6.03922009e-02,5.66124618e-01
,4.37011153e-01,-1.48893474e-02,5.30704081e-01,3.57957065e-01
,-2.94849724e-02,5.10892391e-01,3.07666987e-01,-4.41828668e-02
,4.96514440e-01,2.61142135e-01,-5.68911508e-02,6.09203815e-01
,4.11860049e-01,-1.92899723e-02,5.94775617e-01,3.10455561e-01
,-2.95067001e-02,5.87891161e-01,2.47118264e-01,-4.15705107e-02
,5.82978249e-01,1.93562716e-01,-5.24627604e-02,6.52983904e-01
,4.12402838e-01,-2.82454230e-02,6.45458043e-01,3.15799922e-01
,-4.34288941e-02,6.40402079e-01,2.58938074e-01,-5.50412312e-02
,6.34030759e-01,2.07142532e-01,-6.47735298e-02,6.97322547e-01
,4.32510257e-01,-3.98809686e-02,7.10919023e-01,3.59815121e-01
,-5.56026995e-02,7.17956424e-01,3.11586082e-01,-6.25556782e-02
,7.21331716e-01,2.65570283e-01,-6.81400895e-02]",Your Gesture Name
"[,6.59227848e-01,6.46877408e-01,4.52257353e-07,5.86052597e-01
,6.29070222e-01,-2.21444536e-02,5.20273507e-01,5.75489044e-01
,-3.21649387e-02,4.74121392e-01,5.32126725e-01,-4.14111912e-02
,4.33537543e-01,5.09343863e-01,-5.09394221e-02,5.59562445e-01
,4.28235680e-01,-1.06755197e-02,5.24207592e-01,3.49435568e-01
,-2.37462278e-02,5.04369736e-01,2.99087018e-01,-3.77406403e-02
,4.89728302e-01,2.52358109e-01,-5.01904972e-02,6.02868021e-01
,4.02547210e-01,-1.62091050e-02,5.88734865e-01,3.00073951e-01
,-2.52050012e-02,5.82471371e-01,2.35570222e-01,-3.72459963e-02
,5.78157961e-01,1.81586832e-01,-4.81851101e-02,6.47011042e-01
,4.02959198e-01,-2.62060538e-02,6.39573693e-01,3.06489617e-01
,-4.07999903e-02,6.34152234e-01,2.49203980e-01,-5.33902422e-02
,6.27144814e-01,1.97600961e-01,-6.37845173e-02,6.91852331e-01
,4.23289895e-01,-3.86253521e-02,7.05033183e-01,3.50005835e-01
,-5.40355816e-02,7.12060392e-01,3.01717252e-01,-6.14637323e-02
,7.15386748e-01,2.55711913e-01,-6.75250366e-02]",Your Gesture Name
"[,6.56015754e-01,6.39646053e-01,4.43603000e-07,5.82380831e-01
,6.23240471e-01,-2.31404863e-02,5.15852511e-01,5.70844173e-01
,-3.34499925e-02,4.69515741e-01,5.28169811e-01,-4.27474417e-02
,4.29221392e-01,5.04507840e-01,-5.20623028e-02,5.55110455e-01
,4.21201319e-01,-1.03316531e-02,5.20327687e-01,3.42714995e-01
,-2.30966490e-02,5.00507474e-01,2.92878598e-01,-3.67826335e-02
,4.85378832e-01,2.46786177e-01,-4.90033627e-02,5.98809302e-01
,3.95646036e-01,-1.53596252e-02,5.85219741e-01,2.93351173e-01
,-2.41376422e-02,5.79371452e-01,2.29744732e-01,-3.56090926e-02
,5.74699044e-01,1.76130295e-01,-4.60774675e-02,6.43099248e-01
,3.96197110e-01,-2.51477659e-02,6.35687292e-01,3.01646411e-01
,-4.00044322e-02,6.30061626e-01,2.44667977e-01,-5.24974465e-02
,6.22312129e-01,1.92581415e-01,-6.26653060e-02,6.88073814e-01
,4.15794164e-01,-3.74429934e-02,7.01000035e-01,3.43244791e-01
,-5.29151447e-02,7.07579315e-01,2.95656323e-01,-6.03719130e-02
,7.10088253e-01,2.49319822e-01,-6.65162280e-02]",Your Gesture Name
"[,6.50208116e-01,6.38430238e-01,4.31107139e-07,5.77843606e-01
,6.21935725e-01,-2.16092244e-02,5.11461377e-01,5.67134917e-01
,-3.07046939e-02,4.64928389e-01,5.24037302e-01,-3.91259640e-02
,4.24313188e-01,5.01710713e-01,-4.77423295e-02,5.52138150e-01
,4.16555524e-01,-8.07658210e-03,5.16719162e-01,3.38298529e-01
,-2.02144291e-02,4.96449053e-01,2.88358450e-01,-3.34859379e-02
,4.80992913e-01,2.42966771e-01,-4.55169082e-02,5.95668435e-01
,3.91381621e-01,-1.38126323e-02,5.82091630e-01,2.88433135e-01
,-2.23563612e-02,5.76066315e-01,2.24273652e-01,-3.38948146e-02
,5.71033239e-01,1.71234548e-01,-4.43340838e-02,6.39873683e-01
,3.92103434e-01,-2.42385697e-02,6.33016288e-01,2.97495008e-01
,-3.89226750e-02,6.27161443e-01,2.39714608e-01,-5.17882630e-02
,6.19084358e-01,1.87397689e-01,-6.22925758e-02,6.84423149e-01
,4.12304610e-01,-3.70493755e-02,6.98508143e-01,3.41216862e-01
,-5.24712615e-02,7.05994129e-01,2.93823838e-01,-6.02546930e-02
,7.09223211e-01,2.48380288e-01,-6.67426735e-02]",Your Gesture Name
"[,6.47627234e-01,6.39071763e-01,4.01641159e-07,5.74502170e-01
,6.21670425e-01,-2.12091710e-02,5.08358419e-01,5.67009091e-01
,-2.98404731e-02,4.62268054e-01,5.23452878e-01,-3.79291028e-02
,4.21164095e-01,4.99686718e-01,-4.63245697e-02,5.49551427e-01
,4.16025370e-01,-7.34230923e-03,5.15043259e-01,3.37387830e-01
,-1.95536856e-02,4.94863808e-01,2.87003100e-01,-3.30401361e-02
,4.79422152e-01,2.41942242e-01,-4.51663360e-02,5.93180060e-01
,3.90893877e-01,-1.32003361e-02,5.79619527e-01,2.87538558e-01
,-2.17762291e-02,5.73771715e-01,2.23667651e-01,-3.36497165e-02
,5.68924904e-01,1.71170801e-01,-4.43011373e-02,6.37782753e-01
,3.91683370e-01,-2.37206221e-02,6.30906999e-01,2.96275139e-01
,-3.81917581e-02,6.25389099e-01,2.38068789e-01,-5.11401109e-02
,6.17584229e-01,1.85545594e-01,-6.17512912e-02,6.83006883e-01
,4.12079841e-01,-3.66019905e-02,6.96726918e-01,3.40759844e-01
,-5.16746603e-02,7.04025507e-01,2.93303430e-01,-5.92390373e-02
,7.07436681e-01,2.48047516e-01,-6.55850172e-02]",Your Gesture Name
"[,6.45154834e-01,6.40581489e-01,4.09033078e-07,5.72794378e-01
,6.22664452e-01,-2.18153056e-02,5.06379604e-01,5.68252802e-01
,-3.11625376e-02,4.59813714e-01,5.24714530e-01,-3.98398377e-02
,4.18812633e-01,4.99760240e-01,-4.87621687e-02,5.47861576e-01
,4.15895224e-01,-8.66061728e-03,5.13283014e-01,3.36770535e-01
,-2.15563383e-02,4.93095011e-01,2.85979271e-01,-3.54281887e-02
,4.77474391e-01,2.40987509e-01,-4.76834700e-02,5.91729224e-01
,3.91462833e-01,-1.45307332e-02,5.78972638e-01,2.87071347e-01
,-2.41076946e-02,5.73080122e-01,2.22280934e-01,-3.64241563e-02
,5.68087637e-01,1.69272333e-01,-4.70918156e-02,6.36251926e-01
,3.92406940e-01,-2.50819679e-02,6.29497230e-01,2.96030194e-01
,-4.05518599e-02,6.23730898e-01,2.36563966e-01,-5.39227948e-02
,6.15753353e-01,1.82784945e-01,-6.45515770e-02,6.81053877e-01
,4.12819207e-01,-3.79873626e-02,6.95487797e-01,3.41316372e-01
,-5.37594967e-02,7.03250706e-01,2.93402910e-01,-6.16259761e-02
,7.06993520e-01,2.47765169e-01,-6.80167377e-02]",Your Gesture Name
"[,6.43548012e-01,6.45479262e-01,4.04304643e-07,5.70356131e-01
,6.25538886e-01,-2.07853839e-02,5.04586339e-01,5.69379210e-01
,-2.97125075e-02,4.58300292e-01,5.25392532e-01,-3.82830538e-02
,4.16845441e-01,5.00899434e-01,-4.70600538e-02,5.46681404e-01
,4.16735232e-01,-6.81859674e-03,5.12085855e-01,3.36655706e-01
,-1.93344802e-02,4.91784155e-01,2.85684288e-01,-3.30944061e-02
,4.75797951e-01,2.40561366e-01,-4.53432910e-02,5.90523660e-01
,3.91982794e-01,-1.32765658e-02,5.77819884e-01,2.87048459e-01
,-2.23193299e-02,5.72047293e-01,2.22077683e-01,-3.44256721e-02
,5.66955328e-01,1.68628007e-01,-4.49685380e-02,6.35304928e-01
,3.93182635e-01,-2.43926700e-02,6.28608763e-01,2.96011627e-01
,-3.91824991e-02,6.23161256e-01,2.35972255e-01,-5.23073971e-02
,6.15366518e-01,1.81823492e-01,-6.29051924e-02,6.80690587e-01
,4.14496243e-01,-3.78593206e-02,6.96028709e-01,3.42767656e-01
,-5.30220568e-02,7.04032063e-01,2.94273257e-01,-6.05797321e-02
,7.07877278e-01,2.48247579e-01,-6.68244585e-02]",Your Gesture Name
"[,6.42544746e-01,6.46006703e-01,4.09484670e-07,5.68969607e-01
,6.26213551e-01,-2.31601726e-02,5.03152370e-01,5.71305633e-01
,-3.37968133e-02,4.57173526e-01,5.26859522e-01,-4.37041931e-02
,4.15089428e-01,5.01636386e-01,-5.39147034e-02,5.45134008e-01
,4.19830948e-01,-1.09895384e-02,5.10492444e-01,3.38896692e-01
,-2.54204217e-02,4.90019143e-01,2.86700308e-01,-4.03484255e-02
,4.74610686e-01,2.39937082e-01,-5.33379987e-02,5.89455247e-01
,3.95176351e-01,-1.66911166e-02,5.76590419e-01,2.89913595e-01
,-2.73610540e-02,5.71176946e-01,2.24834189e-01,-4.02698964e-02
,5.67014337e-01,1.70561939e-01,-5.14718480e-02,6.34445906e-01
,3.96368593e-01,-2.71172561e-02,6.28564119e-01,2.98899829e-01
,-4.29675169e-02,6.23933673e-01,2.39013776e-01,-5.59657775e-02
,6.17390931e-01,1.84261054e-01,-6.65202588e-02,6.79915428e-01
,4.17367220e-01,-4.00977544e-02,6.95440650e-01,3.46257359e-01
,-5.56866713e-02,7.04046667e-01,2.98026383e-01,-6.30250722e-02
,7.08759069e-01,2.51726389e-01,-6.91732168e-02]",Your Gesture Name
